0	[834237, 11.562434283892557, 87499013.8387025]
1	[833777, 22.067051460814614, 92621488.47560832]
10	[834949, -2.8455360916440164, 105563887.98123512]
11	[832304, 34.5728640569971, 79515773.7313861]
2	[832451, -14.857210333720584, 87338145.96809214]
3	[832676, -19.11766927764743, 81581436.87580727]
4	[833149, 15.099974508256016, 92922667.45568337]
5	[831961, -6.847776079634745, 105528024.59797779]
6	[833335, 3.556395959278101, 61423963.19379812]
7	[834354, 4.798076383114637, 85288463.9603821]
8	[833649, 15.778497492611915, 86666981.67259522]
9	[833158, 8.631111917292886, 72319972.96810105]
